ID;Puissancenominalunitaire;Emailcontact;Puissancenominaletotale;NOM_COMM;NOM_DEPT;NOM_REGION;LongitudeI;LatitudeI;Dnomination;Description;Miseenservice;Typedemachine;Dveloppeur;Oprateur;Commune;Dpartement;Nomcontact;Tlephone
44097;0;;0;MANNEVILLE-ES-PLAINS;SEINE-MARITIME;HAUTE-NORMANDIE;0,753781785;49,86465181;;;;;;;;;;
44098;0;;0;MANNEVILLE-ES-PLAINS;SEINE-MARITIME;HAUTE-NORMANDIE;0,756974491;49,86470329;;;;;;;;;;
44099;0;;0;MANNEVILLE-ES-PLAINS;SEINE-MARITIME;HAUTE-NORMANDIE;0,760147334;49,86475013;;;;;;;;;;
44100;0;;0;MANNEVILLE-ES-PLAINS;SEINE-MARITIME;HAUTE-NORMANDIE;0,763322379;49,86478896;;;;;;;;;;
44101;0;;0;MANNEVILLE-ES-PLAINS;SEINE-MARITIME;HAUTE-NORMANDIE;0,766358707;49,86486419;;;;;;;;;;
44102;0;;0;LA GAILLARDE;SEINE-MARITIME;HAUTE-NORMANDIE;0,845883635;49,84142585;;;;;;;;;;
44103;0;;0;LA GAILLARDE;SEINE-MARITIME;HAUTE-NORMANDIE;0,84294791;49,8362813;;;;;;;;;;
44104;0;;0;SAINT-PIERRE-LE-VIGER;SEINE-MARITIME;HAUTE-NORMANDIE;0,83638218;49,83151428;;;;;;;;;;
44105;0;;0;SAINT-PIERRE-LE-VIGER;SEINE-MARITIME;HAUTE-NORMANDIE;0,8338697;49,82870956;;;;;;;;;;
44106;0;;0;SAINT-PIERRE-LE-VIGER;SEINE-MARITIME;HAUTE-NORMANDIE;0,832821496;49,82439406;;;;;;;;;;
44107;0;;0;SAINT-PIERRE-BENOUVILLE;SEINE-MARITIME;HAUTE-NORMANDIE;0,991028226;49,73740732;;;;;;;;;;
44108;0;;0;SAINT-PIERRE-BENOUVILLE;SEINE-MARITIME;HAUTE-NORMANDIE;0,984056637;49,74321022;;;;;;;;;;
44109;0;;0;SAINT-PIERRE-BENOUVILLE;SEINE-MARITIME;HAUTE-NORMANDIE;0,988450719;49,74076354;;;;;;;;;;
44110;0;;0;SAINT-PIERRE-BENOUVILLE;SEINE-MARITIME;HAUTE-NORMANDIE;0,989833782;49,73381947;;;;;;;;;;
44111;0;;0;SAINT-PIERRE-BENOUVILLE;SEINE-MARITIME;HAUTE-NORMANDIE;0,987722793;49,73033415;;;;;;;;;;
44112;0;;0;BRACHY;SEINE-MARITIME;HAUTE-NORMANDIE;0,930215497;49,80274717;;;;;;;;;;
44113;0;;0;BRACHY;SEINE-MARITIME;HAUTE-NORMANDIE;0,933786178;49,80704281;;;;;;;;;;
44114;0;;0;BRACHY;SEINE-MARITIME;HAUTE-NORMANDIE;0,935825017;49,81210603;;;;;;;;;;
44115;0;;0;BRACHY;SEINE-MARITIME;HAUTE-NORMANDIE;0,936334413;49,81703654;;;;;;;;;;
44116;0;;0;BRACHY;SEINE-MARITIME;HAUTE-NORMANDIE;0,940557561;49,82020676;;;;;;;;;;
44117;0;;0;AMBRUMESNIL;SEINE-MARITIME;HAUTE-NORMANDIE;0,977062343;49,85302289;;;;;;;;;;
44118;0;;0;GUEURES;SEINE-MARITIME;HAUTE-NORMANDIE;0,978997669;49,84886382;;;;;;;;;;
44119;0;;0;GUEURES;SEINE-MARITIME;HAUTE-NORMANDIE;0,982179867;49,84522281;;;;;;;;;;
44120;0;;0;GENTIOUX-PIGEROLLES;CREUSE;LIMOUSIN;2,048924871;45,76420024;;;;;;;;;;
44121;0;;0;GENTIOUX-PIGEROLLES;CREUSE;LIMOUSIN;2,044859388;45,76162858;;;;;;;;;;
44122;0;;0;PEYRELEVADE;CORREZE;LIMOUSIN;2,042144816;45,75740182;;;;;;;;;;
44123;0;;0;PEYRELEVADE;CORREZE;LIMOUSIN;2,051875654;45,75387468;;;;;;;;;;
44124;0;;0;PEYRELEVADE;CORREZE;LIMOUSIN;2,055760899;45,75600675;;;;;;;;;;
44125;0;;0;GENTIOUX-PIGEROLLES;CREUSE;LIMOUSIN;2,055820462;45,76032048;;;;;;;;;;
44126;0;;0;LUC-SUR-ORBIEU;AUDE;LANGUEDOC-ROUSSILLON;2,811451215;43,17060155;;;;;;;;;;
44127;0;;0;LUC-SUR-ORBIEU;AUDE;LANGUEDOC-ROUSSILLON;2,809564964;43,17276065;;;;;;;;;;
44128;0;;0;LUC-SUR-ORBIEU;AUDE;LANGUEDOC-ROUSSILLON;2,809995315;43,17464561;;;;;;;;;;
44129;0;;0;LUC-SUR-ORBIEU;AUDE;LANGUEDOC-ROUSSILLON;2,809132287;43,1763015;;;;;;;;;;
44130;0;;0;LUC-SUR-ORBIEU;AUDE;LANGUEDOC-ROUSSILLON;2,80706387;43,17817776;;;;;;;;;;
44131;0;;0;LUC-SUR-ORBIEU;AUDE;LANGUEDOC-ROUSSILLON;2,805950441;43,17989858;;;;;;;;;;
44132;0;;0;LUC-SUR-ORBIEU;AUDE;LANGUEDOC-ROUSSILLON;2,806907728;43,1816505;;;;;;;;;;
44133;0;;0;ORNAISONS;AUDE;LANGUEDOC-ROUSSILLON;2,816531468;43,1784283;;;;;;;;;;
44134;0;;0;ORNAISONS;AUDE;LANGUEDOC-ROUSSILLON;2,818010985;43,17549211;;;;;;;;;;
44135;0;;0;LUC-SUR-ORBIEU;AUDE;LANGUEDOC-ROUSSILLON;2,817976459;43,17369252;;;;;;;;;;
44136;0;;0;LUC-SUR-ORBIEU;AUDE;LANGUEDOC-ROUSSILLON;2,817936782;43,17187484;;;;;;;;;;
44137;0;;0;RIOLS;HERAULT;LANGUEDOC-ROUSSILLON;2,812044557;43,47524448;;;;;;;;;;
44138;0;;0;RIOLS;HERAULT;LANGUEDOC-ROUSSILLON;2,815561112;43,47618537;;;;;;;;;;
44139;0;;0;RIOLS;HERAULT;LANGUEDOC-ROUSSILLON;2,818386305;43,47690185;;;;;;;;;;
44140;0;;0;RIOLS;HERAULT;LANGUEDOC-ROUSSILLON;2,822110292;43,4764224;;;;;;;;;;
44141;0;;0;ARFONS;TARN;MIDI-PYRENEES;2,198814749;43,43001376;;;;;;;;;;
44142;0;;0;ARFONS;TARN;MIDI-PYRENEES;2,198930466;43,42844762;;;;;;;;;;
44143;0;;0;ARFONS;TARN;MIDI-PYRENEES;2,198990712;43,42681196;;;;;;;;;;
44144;0;;0;ARFONS;TARN;MIDI-PYRENEES;2,19834208;43,42304203;;;;;;;;;;
44145;0;;0;ARFONS;TARN;MIDI-PYRENEES;2,197455995;43,42165516;;;;;;;;;;
44146;0;;0;ARFONS;TARN;MIDI-PYRENEES;2,196679576;43,42024604;;;;;;;;;;
44147;0;;0;ARFONS;TARN;MIDI-PYRENEES;2,196665627;43,41873276;;;;;;;;;;
44148;0;;0;ARFONS;TARN;MIDI-PYRENEES;2,195454569;43,41552313;;;;;;;;;;
44149;0;;0;ARFONS;TARN;MIDI-PYRENEES;2,195382022;43,41399969;;;;;;;;;;
44150;0;;0;ARFONS;TARN;MIDI-PYRENEES;2,194677244;43,41254883;;;;;;;;;;
44151;0;;0;ARFONS;TARN;MIDI-PYRENEES;2,193411888;43,4113555;;;;;;;;;;
44152;0;;0;PRADELLES-CABARDES;AUDE;LANGUEDOC-ROUSSILLON;2,449513787;43,39335628;;;;;;;;;;
44153;0;;0;PRADELLES-CABARDES;AUDE;LANGUEDOC-ROUSSILLON;2,44836643;43,39224947;;;;;;;;;;
44154;0;;0;PRADELLES-CABARDES;AUDE;LANGUEDOC-ROUSSILLON;2,447701471;43,39083485;;;;;;;;;;
44155;0;;0;PRADELLES-CABARDES;AUDE;LANGUEDOC-ROUSSILLON;2,446539646;43,38970244;;;;;;;;;;
44156;0;;0;PRADELLES-CABARDES;AUDE;LANGUEDOC-ROUSSILLON;2,445662365;43,38849983;;;;;;;;;;
44157;0;;0;PRADELLES-CABARDES;AUDE;LANGUEDOC-ROUSSILLON;2,440641372;43,38636545;;;;;;;;;;
44158;0;;0;PRADELLES-CABARDES;AUDE;LANGUEDOC-ROUSSILLON;2,439711062;43,38503581;;;;;;;;;;
44159;0;;0;CABRESPINE;AUDE;LANGUEDOC-ROUSSILLON;2,447281173;43,38384698;;;;;;;;;;
44160;0;;0;CABRESPINE;AUDE;LANGUEDOC-ROUSSILLON;2,448272655;43,38498218;;;;;;;;;;
44161;0;;0;CABRESPINE;AUDE;LANGUEDOC-ROUSSILLON;2,449221836;43,38616939;;;;;;;;;;
44162;0;;0;CABRESPINE;AUDE;LANGUEDOC-ROUSSILLON;2,450321851;43,38722403;;;;;;;;;;
44163;0;;0;CABRESPINE;AUDE;LANGUEDOC-ROUSSILLON;2,451469828;43,3883322;;;;;;;;;;
44164;0;;0;CABRESPINE;AUDE;LANGUEDOC-ROUSSILLON;2,45238063;43,3895171;;;;;;;;;;
44165;0;;0;CABRESPINE;AUDE;LANGUEDOC-ROUSSILLON;2,45297351;43,39078416;;;;;;;;;;
44166;0;;0;CABRESPINE;AUDE;LANGUEDOC-ROUSSILLON;2,453038704;43,39209195;;;;;;;;;;
44167;0;;0;AUMELAS;HERAULT;LANGUEDOC-ROUSSILLON;3,605985673;43,53708902;;;;;;;;;;
44168;0;;0;AUMELAS;HERAULT;LANGUEDOC-ROUSSILLON;3,609277949;43,53782607;;;;;;;;;;
44169;0;;0;AUMELAS;HERAULT;LANGUEDOC-ROUSSILLON;3,612396495;43,53856467;;;;;;;;;;
44170;0;;0;AUMELAS;HERAULT;LANGUEDOC-ROUSSILLON;3,615705278;43,54041442;;;;;;;;;;
44171;0;;0;AUMELAS;HERAULT;LANGUEDOC-ROUSSILLON;3,623258048;43,54264883;;;;;;;;;;
44172;0;;0;MONTBAZIN;HERAULT;LANGUEDOC-ROUSSILLON;3,643271857;43,54308835;;;;;;;;;;
44173;0;;0;AUMELAS;HERAULT;LANGUEDOC-ROUSSILLON;3,639528332;43,54149328;;;;;;;;;;
44174;0;;0;AUMELAS;HERAULT;LANGUEDOC-ROUSSILLON;3,634994704;43,54057713;;;;;;;;;;
44175;0;;0;AUMELAS;HERAULT;LANGUEDOC-ROUSSILLON;3,632764496;43,53859769;;;;;;;;;;
44176;0;;0;AUMELAS;HERAULT;LANGUEDOC-ROUSSILLON;3,631199054;43,53719907;;;;;;;;;;
44177;0;;0;AUMELAS;HERAULT;LANGUEDOC-ROUSSILLON;3,629637665;43,5357944;;;;;;;;;;
44178;0;;0;AUMELAS;HERAULT;LANGUEDOC-ROUSSILLON;3,62343085;43,53725973;;;;;;;;;;
44179;0;;0;AUMELAS;HERAULT;LANGUEDOC-ROUSSILLON;3,621340223;43,53628465;;;;;;;;;;
44180;0;;0;AUMELAS;HERAULT;LANGUEDOC-ROUSSILLON;3,619266137;43,53530184;;;;;;;;;;
44181;0;;0;AUMELAS;HERAULT;LANGUEDOC-ROUSSILLON;3,617189744;43,53432113;;;;;;;;;;
44182;0;;0;AUMELAS;HERAULT;LANGUEDOC-ROUSSILLON;3,615127792;43,5333368;;;;;;;;;;
44183;0;;0;AUMELAS;HERAULT;LANGUEDOC-ROUSSILLON;3,613411889;43,53192149;;;;;;;;;;
44184;0;;0;VILLEVEYRAC;HERAULT;LANGUEDOC-ROUSSILLON;3,611415413;43,53063351;;;;;;;;;;
44185;0;;0;VILLEVEYRAC;HERAULT;LANGUEDOC-ROUSSILLON;3,609295254;43,52935531;;;;;;;;;;
44186;0;;0;VILLEVEYRAC;HERAULT;LANGUEDOC-ROUSSILLON;3,606434529;43,52887789;;;;;;;;;;
44187;0;;0;VILLEVEYRAC;HERAULT;LANGUEDOC-ROUSSILLON;3,603326155;43,52900438;;;;;;;;;;
44188;0;;0;VILLEVEYRAC;HERAULT;LANGUEDOC-ROUSSILLON;3,599646404;43,52918139;;;;;;;;;;
44189;0;;0;VILLEVEYRAC;HERAULT;LANGUEDOC-ROUSSILLON;3,596037895;43,52925719;;;;;;;;;;
44190;0;;0;AUMELAS;HERAULT;LANGUEDOC-ROUSSILLON;3,624912587;43,53257467;;;;;;;;;;
44191;0;;0;AUMELAS;HERAULT;LANGUEDOC-ROUSSILLON;3,623351367;43,53117749;;;;;;;;;;
44192;0;;0;VILLEVEYRAC;HERAULT;LANGUEDOC-ROUSSILLON;3,621782775;43,52977253;;;;;;;;;;
44193;0;;0;MONTBAZIN;HERAULT;LANGUEDOC-ROUSSILLON;3,64298812;43,54671311;;;;;;;;;;
44194;0;;0;MONTBAZIN;HERAULT;LANGUEDOC-ROUSSILLON;3,641182538;43,55104436;;;;;;;;;;
44195;0;;0;POUSSAN;HERAULT;LANGUEDOC-ROUSSILLON;3,63773378;43,52959752;;;;;;;;;;
44196;0;;0;POUSSAN;HERAULT;LANGUEDOC-ROUSSILLON;3,639029796;43,53195853;;;;;;;;;;
44197;0;;0;POUSSAN;HERAULT;LANGUEDOC-ROUSSILLON;3,640323839;43,53432506;;;;;;;;;;
44198;0;;0;BEUREY-BAUGUAY;COTE-D'OR;BOURGOGNE;4,442598773;47,23988792;;;;;;;;;;
44199;0;;0;BEUREY-BAUGUAY;COTE-D'OR;BOURGOGNE;4,449334707;47,23755149;;;;;;;;;;
