"Commune_insee","Horaires d'ouverture de la mairie"
"70312","Du lundi au mardi : |13:30 - 17:00| et le mercredi : |13:30 - 15:30| et du jeudi au vendredi : |13:30 - 17:30|"
"70452","Le lundi : |10:30 - 12:30| et le mercredi : |16:00 - 18:30|"
"70390","Le lundi : |15:00 - 18:00| et le mardi : |09:00 - 12:00| et le mercredi : |09:00 - 12:00|14:00 - 17:30| et du jeudi au vendredi : |09:00 - 12:00|"
"70295","Le lundi : |15:00 - 18:00| et le jeudi : |09:00 - 12:00|"
"70546","Le mardi : |08:30 - 12:30| et le vendredi : |14:00 - 18:00|"
"70472","Du lundi au mardi : |08:15 - 12:00|13:30 - 16:45| et du jeudi au vendredi : |08:15 - 12:00|13:30 - 16:45|"
"70534","Le jeudi : |13:30 - 17:30| et le mardi : |13:30 - 17:30|"
"70303","Le vendredi : |09:30 - 11:30| et le mardi : |09:30 - 11:30|"
"70272","Le lundi : |08:30 - 11:30| et du jeudi au vendredi : |08:30 - 11:30|"
"70482","Du lundi au mercredi : |10:00 - 12:00|16:00 - 18:00| et le vendredi : |10:00 - 12:00|16:00 - 18:00| et le jeudi : |16:00 - 18:00|"
"70024","Le lundi : |16:30 - 18:30| et le jeudi : |16:30 - 18:30|"
"70462","Le vendredi : |16:30 - 17:30|"
"70414","Du lundi au vendredi : |08:30 - 11:30|13:30 - 17:30|"
"70226","Le mercredi : |08:00 - 10:00| et le jeudi : |15:30 - 17:30|"
"70157","Le lundi : |08:30 - 12:00| et le mardi : |08:30 - 12:00|14:00 - 17:00| et du mercredi au samedi : |08:30 - 12:00|"
"80693","Le lundi : |17:00 - 19:00| et le vendredi : |08:30 - 10:30|"
"70158","Le jeudi : |08:15 - 12:00|13:30 - 16:00|"
"70579","Le mardi : |08:30 - 12:00|13:30 - 18:00| et le jeudi : |08:30 - 12:00|13:30 - 18:00|"
"70182","Le lundi : |13:00 - 17:00|"
"70054","Le lundi : |17:00 - 18:00| et le vendredi : |09:00 - 11:00|"
"70151","Le mardi : |10:00 - 12:00|"
"70506","Le vendredi : |17:00 - 18:30| et le mardi : |17:00 - 18:30| et le lundi : |09:30 - 10:30|"
"70224","Le lundi : |15:00 - 18:15| et le mercredi : |09:00 - 12:00| et le vendredi : |11:00 - 13:00|"
"70047","Le mercredi : |08:30 - 12:00|13:30 - 16:00|"
"70385","Le vendredi : |15:30 - 17:30| et le mercredi : |10:00 - 12:00|"
"70259","Le mardi : |14:00 - 17:00| et le vendredi : |09:00 - 12:00|"
"70493","Le vendredi : |16:00 - 18:00| et le mercredi : |10:00 - 12:00|"
"70109","Le vendredi : |08:00 - 12:00| et le mercredi : |14:00 - 18:00|"
"70283","Du lundi au samedi : |08:30 - 11:30|"
"70441","Le mardi : |18:00 - 19:00| et le vendredi : |09:00 - 10:30|"
"70062","Le mercredi : |14:00 - 18:00| et le vendredi : |14:00 - 18:00|"
"70293","Le mardi : |14:00 - 15:00|"
"70057","Le mercredi : |13:30 - 17:30|"
"93053","Le samedi : |09:00 - 12:00| et du lundi au vendredi : |09:00 - 12:30|13:30 - 18:00|"
"70004","Le mardi : |09:00 - 17:00| et le vendredi : |09:00 - 12:00|"
"70307","Le mardi : |14:00 - 16:00| et le jeudi : |14:00 - 16:00|"
"70464","Le samedi : |09:00 - 11:00| et le lundi : |10:00 - 12:00| et du mercredi au jeudi : |16:00 - 18:00|"
"70376","Le mercredi : |14:00 - 19:00| et le jeudi : |08:00 - 12:00| et le vendredi : |14:00 - 19:00|"
"70348","Le mardi : |10:00 - 12:00| et le vendredi : |13:30 - 16:30| et le samedi : |08:30 - 12:00| et le mercredi : |13:30 - 16:30|"
"70476","Le vendredi : |14:00 - 16:00|"
"70022","Le mercredi : |09:30 - 12:00|"
"70230","Le jeudi : |13:30 - 16:30|"
"70355","Le samedi : |10:00 - 11:30| et le mercredi : |18:00 - 19:30|"
"70562","Le vendredi : |08:30 - 12:00| et le mardi : |08:30 - 12:00|"
"70039","Le mardi : |14:00 - 17:45|"
"70502","Le samedi : |09:00 - 12:00| et le mercredi : |14:00 - 16:00|"
"70538","Le mardi : |13:00 - 15:00|"
"70193","Le vendredi : |14:00 - 16:00|"
"70487","Le mardi : |16:00 - 18:00| et le vendredi : |10:00 - 12:00| et le mercredi : |14:00 - 16:00|"
"70098","Le mardi : |08:30 - 12:00|13:30 - 17:00| et le lundi : |08:30 - 12:00|"
"70013","Le lundi : |09:00 - 12:00| et le jeudi : |13:30 - 16:30|"
"70578","Le mercredi : |17:00 - 20:00| et le vendredi : |17:00 - 19:00|"
